,"
                Game
            ","
                Genre
             ","
                Loose Price
            ","
                New Price
            ","
                Buy Item On
            ",,nan.1
0,3D Baseball,Baseball,$4.90,$89.99,,,
1,Advanced Dungeons & Dragons Iron and Blood,Fighting,none,none,,,
2,Albert Odyssey,RPG,$102.38,$450.00,,,
3,Alien Trilogy,Action & Adventure,$10.43,$39.95,,,
4,All-Star Baseball 97,Baseball,$7.50,$8.50,,,
5,Alone in the Dark,Action & Adventure,$10.97,$20.00,,,
6,Amok,Action & Adventure,$8.50,$29.99,,,
7,Andretti Racing,Racing,$4.24,$10.95,,,
8,Arcade's Greatest Hits Atari Collection,Arcade,$5.50,$19.99,,,
9,Area 51,Action & Adventure,$9.99,$14.95,,,
10,Astal,Action & Adventure,$27.58,$100.00,,,
11,Baku Baku,Puzzle,$9.99,$35.00,,,
12,Bases Loade 96 Double Header,Baseball,$5.95,$5.50,,,
13,Batman Forever-Arcade,Action & Adventure,$45.44,$115.99,,,
14,Battle Arena Toshinden Remix,Fighting,$5.90,$29.99,,,
15,Battle Arena Toshinden URA,Fighting,$6.04,$74.90,,,
16,Battle Monsters,Fighting,$8.49,$44.75,,,
17,Battlesport,Sports,$19.99,$79.99,,,
18,Battlestations,Action & Adventure,$5.51,$9.99,,,
19,Black Dawn,Action & Adventure,$4.99,$49.95,,,
20,Black Fire,Action & Adventure,$1.99,$10.00,,,
21,Blast Chamber,Puzzle,$5.99,$16.50,,,
22,Blazing Dragons,Action & Adventure,$10.00,$15.51,,,
23,Blazing Heroes,RPG,$19.99,$32.66,,,
24,Bottom of the 9th,Baseball,$0.99,$12.29,,,
25,Braindead-13,Action & Adventure,$14.97,$42.95,,,
26,Break Point Tennis,Sports,$4.27,$1.99,,,
27,Bubble Bobble Featuring Rainbow Islands,Puzzle,$11.20,$26.99,,,
28,Bug,Action & Adventure,$10.05,$13.99,,,
29,Bug Too,Action & Adventure,$15.99,$49.95,,,
30,Burning Rangers,Action & Adventure,$147.50,$255.01,,,
31,Bust-a-Move 2 Arcade Edition,Puzzle,$5.47,$7.00,,,
32,Bust A Move 3,Puzzle,$19.50,$36.00,,,
33,Casper a Haunting 3D Challenge,Action & Adventure,$6.84,$3.25,,,
34,Center Ring Boxing,Sports,$4.99,$9.99,,,
35,Christmas Nights into Dreams,Action & Adventure,$16.99,$30.00,,,
36,Clockwork Knight,Action & Adventure,$12.79,$19.99,,,
37,Clockwork Knight 2,Action & Adventure,$33.99,$60.99,,,
38,College Slam,Basketball,$0.99,$24.99,,,
39,Command and Conquer,Strategy,$9.95,$34.99,,,
40,Congo the Movie,Action & Adventure,$6.99,$6.50,,,
41,Contra Legacy of War,Action & Adventure,$24.99,$125.00,,,
42,Corpse Killer Graveyard Edition,Action & Adventure,$9.99,$40.49,,,
43,Courier Crisis,Action & Adventure,$9.99,$14.30,,,
44,Creature Shock Special Edition,Action & Adventure,$11.97,$23.49,,,
45,Crime Wave,Action & Adventure,$15.99,$21.62,,,
46,Criticom,Fighting,$4.99,$17.24,,,
47,Croc,Action & Adventure,$10.51,$15.99,,,
48,Crusader No Remorse,Action & Adventure,$12.99,$39.99,,,
49,Crypt Killer,Action & Adventure,$24.45,$29.80,,,
50,Cyberia,Action & Adventure,$5.50,$24.95,,,
51,Cyber Speedway,Racing,$5.49,$4.25,,,
52,D,Action & Adventure,$11.13,$69.95,,,
53,Darius Gaiden,Action & Adventure,$20.99,$45.39,,,
54,Dark Legend,Fighting,$11.75,$149.95,,,
55,Darklight Conflict,Simulation,$6.97,$23.47,,,
56,Dark Savior,RPG,$22.50,$19.99,,,
57,Daytona USA,Racing,$4.79,$49.88,,,
58,Daytona USA Championship,Racing,$6.99,$12.99,,,
59,Daytona USA Championship Net Link Edition,Racing,$275.00,$1111.11,,,
60,Decathlete,Sports,$7.59,$9.99,,,
61,DEFCON 5,Action & Adventure,$3.62,$28.99,,,
62,Descent,Action & Adventure,$1.99,$65.95,,,
63,Destruction Derby,Racing,$0.99,none,,,
64,Die Hard Arcade,Action & Adventure,$29.00,$84.00,,,
65,Die Hard Trilogy,Action & Adventure,$9.99,$20.50,,,
66,Doom,FPS,$17.50,$49.99,,,
67,Double Switch,Action & Adventure,$10.97,$22.49,,,
68,Dragon Force,Strategy,$90.99,$208.50,,,
69,Dragonheart Fire & Steel,Action & Adventure,$6.50,$7.50,,,
70,Duke Nukem 3D,FPS,$19.99,$21.99,,,
71,Earthworm Jim 2,FPS,$32.00,$85.01,,,
72,Enemy Zero,Action & Adventure,$39.00,$66.95,,,
73,Eyeful Home,Other,$649.99,$1500.00,,,
74,F1 Challenge,Racing,$4.40,$24.99,,,
75,FIFA 97,Sports,$4.97,$10.99,,,
76,FIFA Road to World Cup 98,Soccer,$5.99,$18.99,,,
77,FIFA Soccer 96,Soccer,$3.99,$6.00,,,
78,Fighters MegaMix,Fighting,$11.15,$34.22,,,
79,Fighting Vipers,Fighting,$5.00,$19.24,,,
80,Frank Thomas Big Hurt Baseball,Baseball,$2.99,$17.99,,,
81,Galactic Attack,Action & Adventure,$23.99,$30.99,,,
82,Galaxy Fight,Fighting,$13.96,$34.11,,,
83,Gex,Action & Adventure,$12.99,$50.00,,,
84,Ghen War,Action & Adventure,$3.99,$14.99,,,
85,Golden Axe The Duel,Fighting,$22.00,$36.00,,,
86,Grand Slam,Baseball,$6.99,$24.95,,,
87,Grid Runner,Action & Adventure,$5.50,$11.50,,,
88,Guardian Heroes,Action & Adventure,$64.49,$211.50,,,
89,Gun Griffon,Other,$16.91,$29.99,,,
90,Hang-On GP,Racing,$5.98,$7.00,,,
91,Heir of Zendor The Legend and The Land,Strategy,$7.99,$59.95,,,
92,Herc's Adventures,Action & Adventure,$56.00,$159.99,,,
93,Hexen,Action & Adventure,$21.97,$26.00,,,
94,High Velocity Mountain Racing Challenge,Racing,$7.79,$19.99,,,
95,Highway 2000,Racing,$4.95,$38.88,,,
96,Hi Octane,Racing,$4.56,$29.99,,,
97,Hyper 3D Pinball,Arcade,$8.99,$2.99,,,
98,Impact Racing,Racing,$5.47,$22.99,,,
99,Independence Day,Action & Adventure,$6.94,$9.99,,,
100,In the Hunt,Action & Adventure,$48.55,$60.00,,,
101,Iron Man / XO Manowar in Heavy Metal,Action & Adventure,$7.96,$29.99,,,
102,Iron Storm,Strategy,$28.77,$46.01,,,
103,Johnny Bazookatone,Action & Adventure,$9.99,$22.50,,,
104,Last Bronx,Fighting,$11.32,$14.99,,,
105,Last Gladiators Digital Pinball Ver 9.7,Arcade,$1.00,$18.99,,,
106,Legend of Oasis,RPG,$26.00,$16.99,,,
107,Loaded,Action & Adventure,$14.99,$52.99,,,
108,Lost & Found Volume 1,Other,none,none,,,
109,Lost & Found Volume 2,Other,none,none,,,
110,Lost & Found Volume 3,Other,none,none,,,
111,Lunacy,Action & Adventure,$54.97,$60.99,,,
112,Machine Head,Action & Adventure,$5.99,$9.99,,,
113,Madden 97,Football,$4.00,$17.99,,,
114,Madden 98,Football,$4.54,$15.99,,,
115,Magic Carpet,Action & Adventure,$5.72,$10.00,,,
116,Magic Knight Rayearth,Strategy,$165.00,$219.57,,,
117,Mansion of Hidden Souls,Action & Adventure,$8.24,$10.00,,,
118,Manx TT Super Bike,Racing,$9.95,$14.99,,,
119,Marvel Super Heroes,Fighting,$44.00,$99.99,,,
120,Marvel Super Heroes vs. Street Fighter,Fighting,$36.00,$127.50,,,
121,Mass Destruction,Action & Adventure,$7.10,$26.99,,,
122,Maximum Force,Action & Adventure,$10.99,$22.00,,,
123,MechWarrior 2,Other,$9.99,$11.50,,,
124,Mega Man 8,Action & Adventure,$175.00,$125.00,,,
125,Mega Man X4,Action & Adventure,$77.99,$193.50,,,
126,Metal Slug,Action & Adventure,$49.95,$36.99,,,
127,Minnesota Fats Pool Legend,Sports,$5.00,$19.99,,,
128,Mortal Kombat II,Fighting,$9.99,$35.00,,,
129,Mortal Kombat Trilogy,Fighting,$37.90,$49.99,,,
130,Mr. Bones,Action & Adventure,$22.50,$111.00,,,
131,Myst,Action & Adventure,$4.99,$20.00,,,
132,Mystaria The Realms of Lore,RPG,$21.24,$199.00,,,
133,NASCAR 98,Racing,$5.50,$9.00,,,
134,NBA Action,Basketball,$4.00,$5.00,,,
135,NBA Action 98,Basketball,$5.00,$16.99,,,
136,NBA Jam Extreme,Basketball,$4.87,$18.99,,,
137,NBA Jam Tournament Edition,Basketball,$8.24,$30.00,,,
138,NBA Live 97,Basketball,$3.99,$4.99,,,
139,NBA Live 98,Basketball,$2.00,$7.99,,,
140,Need for Speed,Racing,$5.50,$38.95,,,
141,NFL 97,Football,$5.50,$6.72,,,
142,NFL Quarterback Club 96,Football,$4.50,$9.99,,,
143,NFL Quarterback Club 97,Football,$7.99,$0.99,,,
144,NHL 97,Sports,$2.75,$12.94,,,
145,NHL 98,Sports,$7.64,$19.95,,,
146,NHL All-Star Hockey,Sports,$3.95,$12.95,,,
147,NHL All-Star Hockey 98,Sports,$4.99,$13.99,,,
148,NHL Powerplay 96,Sports,$1.30,$0.99,,,
149,NIGHTS into Dreams,Action & Adventure,$21.00,$69.99,,,
150,NiGHTS into Dreams... & 3D Control Pad,Action & Adventure,$69.99,$64.99,,,
151,Night Warriors Darkstalkers' Revenge,Fighting,$19.99,$49.99,,,
152,Norse By Norse West The Return of the Lost Vikings,Puzzle,$24.95,$60.00,,,
153,Off-World Interceptor Extreme,Action & Adventure,$5.97,$8.99,,,
154,Olympic Soccer,Soccer,$6.50,$19.45,,,
155,Pandemonium,Action & Adventure,$20.50,$39.99,,,
156,Panzer Dragoon,Strategy,$24.50,$89.33,,,
157,Panzer Dragoon II Zwei,Strategy,$31.00,$229.99,,,
158,Panzer Dragoon Saga,Strategy,$334.31,$1150.00,,,
159,Pebble Beach Golf Links,Sports,$3.97,$2.50,,,
160,PGA Tour 97,Sports,$1.26,$7.10,,,
161,Powerslave,Action & Adventure,$38.00,$89.95,,,
162,Primal Rage,Fighting,$20.00,$53.46,,,
163,Pro Pinballs,Arcade,$5.99,$16.99,,,
164,Psychic Killer Taromaru,Action & Adventure,$330.20,none,,,
165,PTO II,Strategy,$8.19,$20.00,,,
166,Quake,Action & Adventure,$17.96,$20.00,,,
167,Quarterback Attack with Mike Ditka,Football,$4.99,$5.90,,,
168,Radiant Silvergun,Other,$142.50,$399.00,,,
169,Rampage World Tour,Action & Adventure,$14.38,$14.64,,,
170,Rayman,Action & Adventure,$24.95,$45.99,,,
171,Reloaded,Action & Adventure,$1.39,$13.89,,,
172,Resident Evil,Action & Adventure,$40.00,$29.95,,,
173,Revolution X,Action & Adventure,$5.94,$18.00,,,
174,Rise 2 Resurrection,Fighting,$5.47,$9.50,,,
175,Road Rash,Racing,$9.94,$19.01,,,
176,Robo Pit,Fighting,$6.95,$12.50,,,
177,Robotica,Action & Adventure,$4.92,$20.00,,,
178,Romance of the Three Kingdoms IV Wall of Fire,Strategy,$9.25,$39.00,,,
179,Saturn Bomberman,Action & Adventure,$69.99,$198.50,,,
180,Scorcher,Racing,$4.99,$14.98,,,
181,Scud The Disposable Assassin,Action & Adventure,$9.47,$21.97,,,
182,Sega Ages After Burner II,Action & Adventure,$71.00,$45.00,,,
183,Sega Rally Championship,Racing,$6.47,$29.99,,,
184,Sega Saturn Console,Systems,$48.39,$118.70,,,
185,Sega Saturn Controller,Controllers,$17.96,$44.99,,,
186,Sega Touring Car Championship,Racing,$12.99,$10.99,,,
187,Shanghai Triple Threat,Puzzle,$1.00,$12.99,,,
188,Shellshock,Action & Adventure,$4.98,$12.32,,,
189,Shining Force III,RPG,$99.95,$29.99,,,
190,Shining The Holy Ark,RPG,$50.00,$162.51,,,
191,Shining Wisdom,RPG,$46.50,$12.00,,,
192,Shinobi Legions,Action & Adventure,$37.00,$29.99,,,
193,Shockwave Assault,Other,$5.98,$34.99,,,
194,SimCity 2000,Strategy,$6.00,$39.95,,,
195,Skeleton Warriors,Action & Adventure,$19.00,$40.00,,,
196,Sky Target,Action & Adventure,$6.25,$26.00,,,
197,Slam n Jam 96,Basketball,$4.99,$22.50,,,
198,Solar Eclipse,Action & Adventure,$6.99,$15.00,,,
199,Sonic 3D Blast,Action & Adventure,$11.50,$47.22,,,
200,Sonic Jam,Action & Adventure,$39.99,$99.99,,,
201,Sonic R,Racing,$23.49,$44.99,,,
202,Soviet Strike,Action & Adventure,$5.99,$34.49,,,
203,Space Hulk Vengeance of the Blood Angels,Action & Adventure,$19.99,$30.00,,,
204,Space Jam,Basketball,$7.50,$15.00,,,
205,Spot Goes To Hollywood,Action & Adventure,$11.75,$44.88,,,
206,Star Fighter,Action & Adventure,$5.15,$11.89,,,
207,Steep Slope Sliders,Sports,$10.00,$19.99,,,
208,Street Fighter Alpha 2,Fighting,$26.00,$44.95,,,
209,Street Fighter Alpha Warriors' Dreams,Fighting,$18.01,$17.50,,,
210,Street Fighter Collection,Fighting,$65.75,$136.00,,,
211,Street Fighter The Movie,Fighting,$8.00,$71.00,,,
212,Street Fighter Zero 3,Fighting,$110.00,$199.99,,,
213,Striker 96,Soccer,$4.32,$13.99,,,
214,Stunner Lightgun,Accessories,$2.18,$24.99,,,
215,Super Puzzle Fighter II Turbo,Puzzle,$16.99,$79.99,,,
216,Tempest 2000,Action & Adventure,$15.00,$79.00,,,
217,Ten Pin Alley,Sports,$5.50,$8.64,,,
218,Tetris Plus,Puzzle,$4.99,$25.00,,,
219,The Crow City of Angels,Action & Adventure,$15.50,$9.99,,,
220,The Horde,Strategy,$9.99,$29.95,,,
221,The House of the Dead,Action & Adventure,$154.50,$635.00,,,
222,The Incredible Hulk,Action & Adventure,$14.99,$89.99,,,
223,The King of Fighters '95,Fighting,$10.00,$13.99,,,
224,The King of Fighters '96,Fighting,$8.50,none,,,
225,The King of Fighters '97,Fighting,$10.00,$50.00,,,
226,The Lost World Jurassic Park,Action & Adventure,$6.50,$25.00,,,
227,Theme Park,Strategy,$7.50,$9.99,,,
228,Three Dirty Dwarves,Action & Adventure,$33.00,$71.00,,,
229,Thunderstrike 2,Action & Adventure,$6.50,$9.99,,,
230,TNN Motorsports Hardcore 4x4,Racing,$1.79,$35.99,,,
231,Tomb Raider,Action & Adventure,$7.76,$48.00,,,
232,True Pinball,Arcade,$9.99,$16.50,,,
233,Tunnel B-1,Action & Adventure,$4.99,$9.99,,,
234,Ultimate Mortal Kombat 3,Fighting,$10.45,$44.22,,,
235,Valora Valley Golf,Sports,$9.95,$17.00,,,
236,Virtua Cop,Action & Adventure,$4.90,$13.04,,,
237,Virtua Cop 2,Action & Adventure,$12.00,$30.51,,,
238,Virtua Fighter,Fighting,$9.99,$7.95,,,
239,Virtua Fighter 2,Fighting,$4.49,$16.95,,,
240,Virtua Fighter Kids,Fighting,$8.71,$26.99,,,
241,Virtua Fighter Remix,Fighting,$5.00,$7.99,,,
242,Virtual Casino,Other,$5.99,$17.99,,,
243,Virtual Hydlide,RPG,$15.75,$29.71,,,
244,Virtual-On Cyber Troopers,Fighting,$14.99,$132.48,,,
245,Virtual-On Cyber Troopers Netlink Edition,Fighting,$9.99,$37.99,,,
246,Virtual Open Tennis,Sports,$2.45,$9.99,,,
247,Virtua Racing,Racing,$4.99,$26.99,,,
248,VR Soccer,Soccer,$4.55,$12.00,,,
249,Waltz,Other,none,$1099.00,,,
250,Warcraft II The Dark Saga,Strategy,$19.95,$31.00,,,
251,Williams Arcade's Greatest Hits,Arcade,$14.99,$14.99,,,
252,Wing Arms,Action & Adventure,$5.50,$18.75,,,
253,Winning Post,Sports,$79.00,$199.99,,,
254,Winter Heat,Sports,$18.50,$24.00,,,
255,WipEout,Racing,$8.00,$19.49,,,
256,World Cup Golf Professional Edition,Sports,$4.99,$19.99,,,
257,World Series Baseball,Baseball,$4.47,$3.25,,,
258,World Series Baseball 98,Baseball,$4.99,$49.90,,,
259,World Series Baseball II,Baseball,$4.90,$13.01,,,
260,Worldwide Soccer,Soccer,$3.99,$9.98,,,
261,Worldwide Soccer 97,Soccer,$2.97,$14.99,,,
262,Worldwide Soccer 98,Soccer,$29.90,$14.26,,,
263,Worms,Strategy,$17.47,$199.95,,,
264,WWF In Your House,Wrestling,$10.50,$31.99,,,
265,WWF WresleMania The Arcade Game,Wrestling,$10.50,$23.99,,,
266,X-Men Children of the Atom,Fighting,$20.00,$34.00,,,
267,X-Men vs. Street Fighter,Fighting,$36.00,$199.00,,,
